price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
133000,7420,4,2,3,1,0,0,0,1,2,1,furnished
122500,8960,4,4,4,1,0,0,0,1,3,0,furnished
122500,9960,3,2,2,1,0,1,0,0,2,1,semi-furnished
122150,7500,4,2,2,1,0,1,0,1,3,1,furnished
114100,7420,4,1,2,1,1,1,0,1,2,0,furnished
108500,7500,3,3,1,1,0,1,0,1,2,1,semi-furnished
101500,8580,4,3,4,1,0,0,0,1,2,1,semi-furnished
101500,16200,5,3,2,1,0,0,0,0,0,0,unfurnished
98700,8100,4,1,2,1,1,1,0,1,2,1,furnished
98000,5750,3,2,4,1,1,0,0,1,1,1,unfurnished
98000,13200,3,1,2,1,0,1,0,1,2,1,furnished
96810,6000,4,3,2,1,1,1,1,0,2,0,semi-furnished
93100,6550,4,2,2,1,0,0,0,1,1,1,semi-furnished
92400,3500,4,2,2,1,0,0,1,0,2,0,furnished
92400,7800,3,2,2,1,0,0,0,0,0,1,semi-furnished
91000,6000,4,1,2,1,0,1,0,0,2,0,semi-furnished
91000,6600,4,2,2,1,1,1,0,1,1,1,unfurnished
89600,8500,3,2,4,1,0,0,0,1,2,0,furnished
88900,4600,3,2,2,1,1,0,0,1,2,0,furnished
88550,6420,3,2,2,1,0,0,0,1,1,1,semi-furnished
87500,4320,3,1,2,1,0,1,1,0,2,0,semi-furnished
86800,7155,3,2,1,1,1,1,0,1,2,0,unfurnished
86450,8050,3,1,1,1,1,1,0,1,1,0,furnished
86450,4560,3,2,2,1,1,1,0,1,1,0,furnished
85750,8800,3,2,2,1,0,0,0,1,2,0,furnished
85400,6540,4,2,2,1,1,1,0,1,2,1,furnished
84630,6000,3,2,4,1,1,1,0,1,0,1,semi-furnished
84000,8875,3,1,1,1,0,0,0,0,1,0,semi-furnished
84000,7950,5,2,2,1,0,1,1,0,2,0,unfurnished
84000,5500,4,2,2,1,0,1,0,1,1,1,semi-furnished
84000,7475,3,2,4,1,0,0,0,1,2,0,unfurnished
84000,7000,3,1,4,1,0,0,0,1,2,0,semi-furnished
82950,4880,4,2,2,1,0,0,0,1,1,1,furnished
81900,5960,3,3,2,1,1,1,0,0,1,0,unfurnished
81200,6840,5,1,2,1,1,1,0,1,1,0,furnished
80809,7000,3,2,4,1,0,0,0,1,2,0,furnished
80430,7482,3,2,3,1,0,0,1,0,1,1,furnished
79800,9000,4,2,4,1,0,0,0,1,2,0,furnished
79625,6000,3,1,4,1,1,0,0,1,2,0,unfurnished
79100,6000,4,2,4,1,0,0,0,1,1,0,semi-furnished
78750,6550,3,1,2,1,0,1,0,1,0,1,furnished
78400,6360,3,2,4,1,0,0,0,1,0,1,furnished
77000,6480,3,2,4,1,0,0,0,1,2,0,unfurnished
77000,6000,4,2,4,1,0,0,0,0,2,0,semi-furnished
75600,6000,4,2,4,1,0,0,0,1,1,0,furnished
75600,6000,3,2,3,1,0,0,0,1,0,0,semi-furnished
75250,6000,3,2,4,1,0,0,0,1,1,0,furnished
74900,6600,3,1,4,1,0,0,0,1,3,1,furnished
74550,4300,3,2,2,1,0,1,0,0,1,0,unfurnished
74200,7440,3,2,1,1,1,1,0,1,0,1,semi-furnished
74200,7440,3,2,4,1,0,0,0,0,1,1,unfurnished
74200,6325,3,1,4,1,0,0,0,1,1,0,unfurnished
73500,6000,4,2,4,1,1,0,0,1,1,0,furnished
73500,5150,3,2,4,1,0,0,0,1,2,0,semi-furnished
73500,6000,3,2,2,1,1,0,0,1,1,0,semi-furnished
73500,6000,3,1,2,1,0,0,0,1,1,0,unfurnished
73430,11440,4,1,2,1,0,1,0,0,1,1,semi-furnished
72450,9000,4,2,4,1,1,0,0,1,1,1,furnished
72100,7680,4,2,4,1,1,0,0,1,1,0,semi-furnished
72100,6000,3,2,4,1,1,0,0,1,1,0,furnished
71400,6000,3,2,2,1,1,0,0,0,1,0,semi-furnished
70700,8880,2,1,1,1,0,0,0,1,1,0,semi-furnished
70700,6240,4,2,2,1,0,0,0,1,1,0,furnished
70350,6360,4,2,3,1,0,0,0,1,2,1,furnished
70000,11175,3,1,1,1,0,1,0,1,1,1,furnished
69300,8880,3,2,2,1,0,1,0,1,1,0,furnished
69300,13200,2,1,1,1,0,1,1,0,1,0,furnished
68950,7700,3,2,1,1,0,0,0,0,2,0,unfurnished
68600,6000,3,1,1,1,0,0,0,1,1,0,furnished
67900,12090,4,2,2,1,0,0,0,0,2,1,furnished
67900,4000,3,2,2,1,0,1,0,1,0,1,semi-furnished
67550,6000,4,2,4,1,0,0,0,1,0,0,unfurnished
67200,5020,3,1,4,1,0,0,0,1,0,1,unfurnished
66850,6600,2,2,4,1,0,1,0,0,0,1,furnished
66500,4040,3,1,2,1,0,1,1,0,1,0,furnished
66500,4260,4,2,2,1,0,0,1,0,0,0,semi-furnished
66500,6420,3,2,3,1,0,0,0,1,0,1,furnished
66500,6500,3,2,3,1,0,0,0,1,0,1,furnished
66500,5700,3,1,1,1,1,1,0,1,2,1,furnished
66500,6000,3,2,3,1,1,0,0,1,0,0,furnished
66290,6000,3,1,2,1,0,0,1,0,1,1,semi-furnished
